X,GSM300166,GSM300167,GSM300168,GSM300169,GSM300170,GSM300171,GSM300172,GSM300173,GSM300174,GSM300175,GSM300176,GSM300177,GSM300178,GSM300179,GSM300180,GSM300181,GSM300182,GSM300183,GSM300185,GSM300186,GSM300187,GSM300188,GSM300189,GSM300190,GSM300191,GSM300192,GSM300193,GSM300194,GSM300195,GSM300196,GSM300197,GSM300198,GSM300199,GSM300200,GSM300201,GSM300202,GSM300203,GSM300204,GSM300205,GSM300206,GSM300207,GSM300208,GSM300209,GSM300210,GSM300211,GSM300212,GSM300213,GSM300214,GSM300215,GSM300216,GSM300217,GSM300218,GSM300219,GSM300220,GSM300221,GSM300222,GSM300223,GSM300224,GSM300225,GSM300226,GSM300227,GSM300228,GSM300229,GSM300230,GSM300231,GSM300232,GSM300233,GSM300234,GSM300235,GSM300236,GSM300237,GSM300238,GSM300239,GSM300240,GSM300241,GSM300242,GSM300243,GSM300244,GSM300245,GSM300246,GSM300247,GSM300248,GSM300249,GSM300250,GSM300251,GSM300252,GSM300253,GSM300254,GSM300255,GSM300256,GSM300258,GSM300259,GSM300260,GSM300261,GSM300262,GSM300263,GSM300264,GSM300265,GSM300266,GSM300267,GSM300268,GSM300269,GSM300270,GSM300271,GSM300272,GSM300273,GSM300274,GSM300275,GSM300276,GSM300277,GSM300278,GSM300279,GSM300280,GSM300281,GSM300282,GSM300283,GSM300284,GSM300285,GSM300286,GSM300287,GSM300288,GSM300289,GSM300290,GSM300291,GSM300292,GSM300293,GSM300294,GSM300295,GSM300296,GSM300297,GSM300298,GSM300299,GSM300300,GSM300301,GSM300302,GSM300303,GSM300304,GSM300305,GSM300306,GSM300307,GSM300308,GSM300309,GSM300310,GSM300311,GSM300312,GSM300313,GSM300314,GSM300315,GSM300316,GSM300317,GSM300318,GSM300319,GSM300320,GSM300321,GSM300322,GSM300323,GSM300324,GSM300325,GSM300326,GSM300327,GSM300328,GSM300329,GSM300330,GSM300331,GSM300332,GSM300333,GSM300335,GSM300338,GSM300339,GSM300340,GSM300341,GSM318840,GSM350078,Cluster
1552535_at,0.45095414,0.4870295,0.17847858,0.16960612,0.17750336,0.17048441,0.19458783,0.48432764,0.4351077,0.44773299,0.5145094,0.44872445,0.4281697,0.42389673,0.47463658,0.45907822,0.42865574,0.44739515,0.17549635,0.50236917,0.40624133,0.47976878,0.4718897,0.44299537,0.49001914,0.4812331,0.41462353,0.42864114,0.4740207,0.48679924,0.45342022,0.45617315,0.48648793,0.4330298,0.47217843,0.45600116,0.4794131,0.47833842,0.43774903,0.4395317,0.46384743,0.47295853,0.45085523,0.45137957,0.49780405,0.47955716,0.47950232,0.44577333,0.42006928,0.43680376,0.47746152,0.48205033,0.45111123,0.44135955,0.5288251,0.4937312,0.42373937,0.521454,0.49330127,0.42429692,0.17656748,0.47608942,0.48847666,0.46473834,0.42647263,0.42373705,0.49623713,0.46922845,0.43551952,0.44177622,0.5025342,0.44999507,0.4191169,0.43630978,0.49900573,0.48799378,0.42792693,0.42799485,0.5132704,0.43729872,0.5001167,0.4691398,0.4484091,0.5160382,0.4902009,0.45691955,0.44470257,0.5325649,0.45389688,0.4568623,0.515805,0.46032262,0.55268675,0.45571518,0.4515989,0.4791955,0.50994986,0.43286645,0.52132845,0.44838622,0.4279268,0.4279143,0.50976104,0.48606563,0.5050269,0.42134568,0.52433354,0.48277795,0.40986818,0.45334208,0.54839903,0.4858824,0.44266018,0.44528997,0.5256965,0.4756831,0.49120167,0.44134146,0.4178508,0.6252414,0.48522675,0.50750995,0.44349816,0.46846974,0.5289234,0.4648259,0.44695038,0.4428608,0.5303969,0.5090429,0.44559994,0.49586916,0.44577327,5.0732746,0.43680382,0.51317525,0.48974508,0.43849447,0.4398636,0.5026273,0.456317,0.42752245,0.43845502,0.5035602,0.476269,0.42906135,0.44621527,0.5180518,0.5007614,0.41368383,0.45841604,0.51735556,0.49335906,0.44165704,0.44235992,0.514128,0.44804808,0.41706142,0.40866408,0.4886579,0.45795453,0.40670258,0.4291268,0.48307213,0.48937568,0.4100231,0.48983744,0.47725776,0.42792702,0.44011247,0.53365237,0.4562551,0.48531678,10
205907_s_at,3.0745945,2.4918516,1.3806368,0.8848588,0.5225014,1.5554124,1.0019624,0.8141821,0.9454548,1.154794,0.85254544,2.1319487,1.765684,5.271507,2.063573,0.49346995,0.5208206,0.82760197,0.69059813,1.7215928,0.8551269,2.467482,0.6234275,0.38107565,0.7784957,0.9980376,2.1567786,2.5378604,2.3180037,0.42800102,0.55582833,0.83591783,1.0103828,2.3313127,1.6266547,4.492219,2.7430806,1.38891,0.9431341,6.4129386,7.51793,0.9175518,0.7844759,0.6073813,0.9703536,0.91548705,19.338186,1.2183467,1.3445133,1.4043092,28.864761,0.7598978,0.95732987,0.9937809,1.1393877,2.1127434,9.4528265,3.6038766,3.505128,1.6862903,2.7010345,0.80381113,0.52837366,1.0485715,0.8418094,0.8255751,3.930003,1.0509467,2.1051996,0.8550574,0.8688241,0.5684167,0.69676256,0.75467366,0.50033927,0.8307727,0.5625963,0.98018986,26.109539,1.1716915,7.9332805,1.2514031,5.9952736,3.4779363,1.0055232,6.5503197,1.0039568,0.9637184,1.1957389,7.758957,0.74824065,0.8378121,0.9792103,0.36954212,1.1846111,0.71073306,0.8434248,0.5959181,0.861285,0.9641924,0.9212751,1.6207939,0.98540336,0.9098002,2.1723337,1.0710647,2.7344472,0.68350434,1.998894,1.1611288,1.1099826,1.1535246,0.7481092,0.7735554,0.7329638,6.975843,3.2727022,0.57596797,0.88356555,0.7803228,1.1579189,0.8521886,0.95624423,1.4607831,0.9619328,0.66132176,0.5972413,0.7744318,0.7131221,1.3616866,0.9330225,1.8329859,2.853357,0.90128535,0.70565623,0.6127559,1.0090109,1.1427053,1.1830182,0.8250173,0.87382567,0.9273931,0.39387375,0.77002424,0.6965123,1.0214841,1.3778064,1.2157898,0.71824795,0.63330036,0.46281207,0.8594899,0.8869372,1.0135951,1.2490685,1.6940739,0.60513145,0.7130245,0.59065837,0.80835915,1.1160893,1.6873388,2.7663605,2.0494642,0.935014,1.573608,2.0222816,3.8630447,5.0187283,3.8724368,4.17955,32.375614,0.8911798,14
207521_s_at,0.46442223,0.5133655,0.30196872,0.2620933,0.28258684,0.26736307,0.30365768,0.46719813,0.4632138,0.47883418,0.5523795,0.48168704,0.43379322,0.42945048,0.49743474,0.48505864,0.4465278,0.4602358,0.27579758,0.547261,0.4366741,0.5299048,0.49345213,0.46655464,0.5138419,0.6165094,0.43272817,0.4536845,0.5123192,0.51299286,0.4864665,0.46679366,0.49183962,0.6161994,0.4880239,0.49072197,0.50966626,0.49925348,0.47384605,0.45257336,0.5021614,0.50010157,0.49080953,0.45945513,0.5104233,0.5084377,0.5044013,0.46055195,0.43990645,0.45746574,0.51042306,0.5084675,0.47366682,0.45308572,0.5614672,0.5211814,0.45669055,0.46372157,0.52161825,0.4472266,0.2820801,0.49897125,0.51269966,0.49168763,0.45393503,0.44697356,0.5284331,0.4984074,0.44872886,0.4498496,0.53236747,0.4858823,0.4434981,0.457984,0.52608687,0.5112549,0.45488045,0.5089178,0.5419292,0.5027155,0.5309868,0.50218,0.47015187,0.54667306,0.5385234,0.48368886,0.49640155,0.5649137,0.48901916,0.4732665,0.55453074,0.5117095,0.75009704,0.4944764,0.46131283,0.47802186,0.5560791,0.45643145,0.5601156,0.4755513,0.4512818,0.4787441,0.55340475,0.51396096,0.6613487,0.44908643,0.5790192,0.51551354,3.850743,0.4796477,0.9088021,0.5241374,0.46858817,0.5073837,0.618992,0.48364574,0.535933,0.45838642,0.43272808,0.65186083,0.51070714,0.52502763,0.46983048,0.47784153,0.5576282,0.721615,0.494817,0.46521133,0.5639718,0.5369394,0.7581019,0.52423626,0.48323318,4.8216486,0.45893526,0.5501304,0.5161945,0.45954928,0.46838152,0.54102564,0.48451033,0.46743765,0.48602346,0.5225863,0.5012341,0.4501737,0.47362366,0.5794492,0.5668982,0.47277185,0.4736235,0.55173963,0.5710819,0.4566041,0.5761765,0.54870445,0.4815053,0.43791443,0.42839882,0.50693303,0.48077992,0.43330145,0.47784176,0.5110861,0.48168704,0.42405993,0.52287716,0.51396096,0.43882653,0.4490017,0.5374258,0.5843045,0.510234,10
209904_at,0.47121742,0.5058061,0.2649236,0.2536532,0.26274872,0.2581517,0.28464994,0.4817777,0.44619015,0.45608726,0.54444736,0.45631707,0.4280886,0.4318063,0.47799298,0.46719807,0.44391772,0.45936835,0.263687,0.51347643,0.41118795,0.48965546,0.4820503,0.45376348,0.50346684,0.49168763,0.41041103,0.4403616,0.48666823,0.49925354,0.46708423,0.46900025,0.50412065,0.4453741,0.49817312,0.5057593,0.49678934,0.48286867,0.4520506,0.4558292,0.47156605,0.47483468,0.46991938,0.48538226,0.5180517,0.488874,0.73850393,0.44417948,0.42647272,0.45325658,0.7455214,0.49168763,0.46024528,0.43911725,0.54789066,0.50274837,0.4376662,0.46565014,0.5123196,0.4359809,0.25748882,0.48168692,0.50853354,0.4722456,0.43502548,0.42993698,0.51450926,0.48259592,0.44107276,0.45248803,0.52161825,0.44627774,0.42357904,0.4473952,0.5148913,0.49803135,0.429711,0.43895182,0.8374412,0.44044477,0.5235561,0.47734773,0.45971513,0.53702736,0.5114654,0.46587867,0.44976464,0.5551521,0.484382,0.48282525,0.5253242,0.47175106,0.5918285,0.4685211,0.45329103,0.44925582,0.5304947,0.44436714,0.5428345,0.45271814,0.43808007,0.44169304,0.5307901,0.49522272,0.4297109,0.42896485,0.55360997,0.4902068,0.41951364,0.46529895,0.56491345,0.49774995,0.45153767,0.4537699,0.55752474,0.46319732,0.5120346,0.44821712,0.4273607,0.798267,0.50113815,0.51279956,0.43584892,0.44722646,0.5497226,0.4786091,0.453592,0.44495445,0.55463755,0.5319017,0.45496637,0.514891,0.452121,5.1701274,0.44722638,0.5168041,0.49972466,0.44635892,0.45608732,0.5121297,0.46473834,0.43428582,0.44951007,0.51536864,0.4946628,0.4387434,0.45385587,0.5361321,0.50502807,0.41872105,0.52699184,0.5369029,0.5019906,0.4506848,0.4486631,0.5289235,0.4509292,0.43231922,0.407817,0.5038403,0.46517673,0.41196626,0.4345031,0.49476704,0.46587875,0.41848335,0.50440127,0.50789255,0.4461904,0.45368448,0.52375036,0.4729674,0.51336586,10
211919_s_at,0.81181985,0.8934336,1.710238,2.0099573,18.566477,3.5869796,4.429138,0.93269897,1.034756,0.83181787,1.2286233,0.98177344,3.6917975,0.5361695,0.691201,1.7719226,1.6800982,0.61999184,1.6033015,0.92936385,0.6037437,0.5776273,8.908185,13.522386,5.3690886,0.93869585,4.5052576,1.200086,1.7915267,1.9658858,3.8588302,2.4979315,1.1221161,0.9369662,0.95228213,14.307669,0.48784518,1.0051845,1.0533148,1.0912417,1.6088458,1.0148957,0.5724981,0.80435044,1.0498488,0.90790844,0.8349646,1.1841196,3.8573737,1.4122612,1.5568972,0.4626442,0.76041394,0.7060468,0.5587693,0.4589955,0.64860356,0.3150285,0.40160835,5.5867977,9.828899,9.602301,1.7266229,0.9948154,0.8391486,0.52963537,0.9177825,4.6476946,3.7608538,0.8072386,0.33135208,0.73369205,14.623605,0.30273554,0.49716082,0.60283685,1.5588764,0.8706722,5.3790526,1.236627,2.3178458,18.084751,1.1683652,0.8753948,0.6622184,4.071559,0.43095368,0.584524,1.4336865,0.6629338,0.37373528,0.41444984,0.43956435,1.6672442,3.1943986,0.8409689,0.8871606,0.7963481,1.4056789,1.2972486,2.169568,0.9792539,0.89012706,0.9545795,1.2810371,0.5801598,0.57516944,0.5957195,1.6186588,0.31945708,0.4445646,0.73438436,1.6411579,0.4397408,0.42989105,1.0230626,2.0183969,0.96144205,0.7873386,1.1509527,0.82450205,0.68412995,1.501869,0.3138423,0.4317286,1.1074641,1.0597085,0.8524695,0.673488,0.63491535,0.33944505,0.8069558,1.6512909,1.0082921,0.8899341,0.68825907,1.0636746,2.1662862,1.1510826,0.74787855,1.9248121,1.7801884,0.31903547,1.1146506,1.1996235,1.0209557,0.58477503,0.5139399,0.7214843,1.7336762,0.43816757,1.210475,0.7266723,1.0410371,0.325418,0.41825357,0.43269435,1.1604013,0.8215257,0.49083978,1.4987866,2.6803608,0.8435115,0.8545442,2.708611,5.121569,1.9776434,1.4808109,3.950391,1.2774096,1.5091423,2.7983801,0.6859661,14
225238_at,0.8139061,0.6963667,0.55463564,0.5294397,0.36625713,0.53496945,0.5792379,0.9451964,0.5290369,0.8074828,0.7156104,0.8702832,1.0749483,0.7870295,0.82712877,1.1061294,0.886037,0.80870193,0.600765,1.0599911,0.96766275,1.0637919,1.2460953,3.6671019,1.0713147,8.291703,1.363144,0.7715939,1.1412444,1.2052002,1.4680346,1.282626,1.3570536,14.285016,1.131132,1.0862311,1.2257001,1.2077017,0.9861363,0.9775191,0.9486092,0.7561044,0.8596292,0.82038,0.8424538,7.848072,1.6235776,1.180465,1.1340448,0.9452401,0.5765742,1.1862651,6.972641,0.8546597,0.7291392,8.754352,10.570147,0.6641353,0.6055027,1.1691604,0.83626634,1.1649885,0.45941156,1.1453887,1.4470868,1.567728,0.7189354,1.1746926,1.2146274,0.966518,0.7999765,1.0585933,1.1860275,8.591876,0.70729923,1.0138636,0.90226966,0.64439,0.6429968,0.81590444,0.74457866,22.60158,13.598716,1.633543,0.5944883,2.2732725,0.7006872,0.7502613,1.4611697,11.37186,1.1214578,0.8186795,0.73470384,1.1193457,1.4069052,1.1610283,0.6737569,0.8090072,0.61046344,1.041765,0.9194946,0.80580926,0.74402684,8.244946,0.8772009,0.7853984,0.7589369,1.129521,1.0383843,3.4891722,1.9049894,1.1849241,0.80823374,3.213677,1.6545786,8.966101,0.7072987,1.1113552,0.8610934,1.6264833,0.592068,0.94501835,3.3482568,0.580226,0.77228177,1.0223083,6.20005,4.058321,0.61114293,1.1067559,0.57494026,0.6486255,2.0259366,1.9747605,0.81498104,0.72482526,1.2402366,8.272594,10.537385,0.7009013,1.9971161,1.1125903,1.0774562,0.6637125,1.3715942,0.8951317,0.8292492,0.7134906,0.9815149,0.823197,0.804897,0.60648596,1.090189,0.95097274,0.5318988,0.6300142,1.1210349,1.0934011,0.73980814,1.1196548,1.2147814,1.4399891,0.5161818,0.7939173,1.2688528,1.2979863,8.187032,1.1636719,1.3038923,0.89087546,0.61935693,1.2654245,6.0178456,14
229125_at,0.93875015,0.4623023,0.9820502,2.2916508,0.49333665,0.6290975,0.7253549,0.48528397,0.77458674,2.964114,0.8226669,0.505644,18.94354,1.5818293,0.8418025,0.79946935,0.7744402,4.869974,1.6757364,1.1031762,1.6302261,0.66393745,1.1412547,3.705545,2.114558,0.51692104,2.9232244,3.477003,0.8597866,0.35036078,0.40938407,0.24023022,0.80188173,3.0108898,1.6130227,3.0012488,1.5557377,0.4978871,0.39891428,0.9964118,2.1721854,4.7338414,1.0089886,2.8463004,0.63515556,15.953175,0.9311516,0.5531175,0.95659095,0.7167939,0.7442794,0.5262627,7.949228,4.942158,0.66467696,0.46618316,17.493828,1.1114106,0.6258027,0.9036509,2.024848,1.0265225,0.762298,0.5158501,3.464288,1.5842195,0.6807684,1.0986104,1.508603,1.2103351,0.93149716,0.7203187,0.64282197,1.5044132,0.98917794,0.47201994,8.583594,0.3143806,0.759617,1.0632163,2.1911967,18.87699,2.4951417,0.5500297,13.090091,0.9124233,1.9983306,0.6244119,2.146285,0.96642244,0.46163517,1.9095159,0.5992283,2.9788308,0.9317286,2.571602,1.4566228,3.0815692,0.42623863,0.63508534,1.8722597,1.7527845,0.7283057,0.5033613,4.2228236,2.7187707,0.9913808,0.64644027,5.2180185,0.47843677,0.56711876,0.44005078,6.187334,4.8893013,0.6248748,1.0638187,1.1363523,1.8758832,2.7148745,1.9434996,1.6923827,0.9008016,7.28694,2.8711054,1.2667931,1.0619547,1.0798687,3.573425,2.0695577,0.6972049,3.0005164,0.87166643,0.62416524,1.3308322,0.85618865,1.0035882,0.46838576,3.960603,0.8891095,0.6655404,0.7525234,1.6475822,2.1606545,3.9021258,0.848864,0.84722614,2.3344,0.71731526,0.6191256,1.1574764,0.87167066,1.0433921,0.54689634,1.6604058,1.146765,1.9230314,0.86143863,2.1702461,3.8513224,0.66295356,0.6119315,0.3229545,0.44922233,2.1593332,0.90131074,0.5450978,0.918972,0.6834105,0.38114178,1.4674152,0.98807734,2.8714397,1.3701601,14
240633_at,0.5623244,0.56094676,0.47975862,0.3950056,0.44207343,0.7366082,0.90160245,0.5081799,0.7415125,0.5492197,0.5888729,0.4989713,0.45462236,0.48182416,0.53633076,0.49597016,0.5135019,0.5516076,0.46587703,0.5780139,0.42647284,0.55125356,0.5164862,0.47036403,0.55918145,0.5245326,0.41927576,0.49137047,0.54404336,0.5246316,0.4856392,0.5250074,0.55494606,0.63556105,0.52132785,0.6155023,0.55289173,0.5138636,0.46779168,0.50044465,0.51508206,0.63598835,0.5040728,0.52391917,0.5660673,0.54777086,0.5499267,0.4825959,0.4541927,0.52047116,0.5535074,0.5231501,0.48435554,0.5153907,0.60268176,0.5341122,0.4648814,0.5174363,0.57112813,0.47829255,0.53069955,0.51376694,0.56491363,0.5013285,0.46584934,0.4855654,0.57006997,0.507797,0.46207666,0.5277881,0.58181775,0.49840713,0.44906825,0.5018626,0.640833,0.54059565,0.4452632,0.48933563,0.5790191,0.49248412,0.5802013,0.5105806,0.52243865,0.6346832,0.5597002,0.49475604,0.5456052,0.63010985,0.53142977,0.54099345,0.5609447,0.530483,0.6282429,0.49363804,0.9508063,0.53561115,0.5924873,0.489243,0.5970093,0.50464743,0.7834624,0.48952034,0.5897472,0.5280051,0.51398754,0.4738023,0.6289423,0.52059203,3.668068,0.5143222,0.7104299,0.53029966,1.1379958,0.5047107,0.61350673,0.5655159,0.5658571,0.7733101,0.5763983,0.705162,0.5571115,0.5459216,0.4807053,0.4998785,0.6838037,0.5406974,0.5035015,0.50035024,0.6159007,0.5618975,0.48216197,0.54647034,0.48250487,4.6646943,0.60514057,0.67623764,0.5335087,0.7870262,0.5625365,0.571446,0.4946628,0.4543647,0.49959552,0.58117074,0.52581966,0.46400303,0.5064277,0.59978354,0.5325035,0.42349923,0.51074487,0.59742445,0.5549493,0.48307472,0.5040449,0.5856063,0.48569903,1.2421287,0.45436984,0.565962,0.5193178,0.44115624,0.52431494,0.55628574,0.49578318,0.4916458,0.5674334,0.52000356,0.4641787,0.512869,0.58009386,0.52036244,0.61066943,10
